epoch,loss,lr,val_loss
0,0.969122052192688,1e-04,1.403441309928894
1,0.6456226706504822,1e-04,2.6973085403442383
2,0.5607008934020996,1e-04,4.666120529174805
3,0.5249453783035278,1e-04,4.839006423950195
4,0.47578930854797363,1e-04,3.594151735305786
5,0.44434577226638794,1e-04,4.426767826080322
6,0.4197605550289154,1e-05,3.8310000896453857
7,0.3897521197795868,1e-05,3.357823133468628
0,1.2032862901687622,1e-04,1.4579782485961914
1,0.761874794960022,1e-04,3.5240097045898438
2,0.6259937286376953,1e-04,7.454975605010986
3,0.5736209154129028,1e-04,8.074337005615234
4,0.5134445428848267,1e-04,6.673223495483398
5,0.4909568727016449,1e-04,6.388030052185059
6,0.45592084527015686,1e-05,4.994883060455322
7,0.4288189709186554,1e-05,3.8054800033569336
8,0.43034180998802185,1e-05,3.380625009536743
9,0.42436134815216064,1e-05,2.6695947647094727
10,0.41229191422462463,1e-05,2.6261487007141113
11,0.40172141790390015,1e-06,2.2796788215637207
12,0.40524569153785706,1e-06,1.9216008186340332
13,0.3973113000392914,1e-06,1.6448626518249512
14,0.3976256251335144,1e-06,1.4163321256637573
15,0.3892219364643097,1e-06,1.2314317226409912
16,0.3970321714878082,1e-06,1.0673645734786987
17,0.3887253701686859,1e-06,0.9439740777015686
18,0.3984915018081665,1e-06,0.8485015630722046
19,0.3995918333530426,1e-06,0.7636309862136841
20,0.3993460237979889,1e-06,0.7092570066452026
21,0.3905670642852783,1e-06,0.6489918828010559
22,0.38573604822158813,1e-06,0.6069592237472534
23,0.3952746093273163,1e-06,0.5791676640510559
24,0.3883877098560333,1e-06,0.5583787560462952
25,0.3832608163356781,1e-06,0.5468506217002869
26,0.39459094405174255,1e-06,0.5359199047088623
27,0.3815097510814667,1e-06,0.527958869934082
28,0.38460785150527954,1e-06,0.5200023651123047
29,0.3789486885070801,1e-06,0.5158841013908386
30,0.38058963418006897,1e-06,0.5093876719474792
31,0.3843526244163513,1e-06,0.5055787563323975
32,0.38663166761398315,1e-06,0.5000575184822083
33,0.3874852657318115,1e-06,0.4966931939125061
34,0.3750011622905731,1e-06,0.4956493377685547
35,0.37561464309692383,1e-06,0.4936295747756958
36,0.3757499158382416,1e-06,0.49356576800346375
37,0.37318599224090576,1e-06,0.4930230379104614
38,0.3755682706832886,1e-06,0.49255773425102234
39,0.3745700418949127,1e-06,0.4916163980960846
